original_url;wayback_url;timestamp;type;products_found;;;
http://www.press.sk:80/byvanie-stavebnictvo;https://web.archive.org/web/20090227112248/http://www.press.sk:80/byvanie-stavebnictvo;2,01E+13;skip;0;;;
http://www.press.sk:80/byvanie-stavebnictvo/;https://web.archive.org/web/20090318163628/http://www.press.sk:80/byvanie-stavebnictvo/;2,01E+13;skip;0;;;
http://www.press.sk:80/byvanie-stavebnictvo;https://web.archive.org/web/20090330024917/http://www.press.sk:80/byvanie-stavebnictvo;2,01E+13;skip;0;;;
http://www.press.sk:80/byvanie-stavebnictvo/;https://web.archive.org/web/20090418133849/http://www.press.sk:80/byvanie-stavebnictvo/;2,01E+13;skip;0;;;
http://www.press.sk:80/byvanie-stavebnictvo/;https://web.archive.org/web/20090520065833/http://www.press.sk:80/byvanie-stavebnictvo/;2,01E+13;skip;0;;;
http://www.press.sk:80/byvanie-stavebnictvo/;https://web.archive.org/web/20091221050549/http://www.press.sk:80/byvanie-stavebnictvo/;2,01E+13;skip;0;;;
http://www.press.sk:80/byvanie-stavebnictvo;https://web.archive.org/web/20100119091018/http://www.press.sk:80/byvanie-stavebnictvo;2,01E+13;skip;0;;;
http://www.press.sk:80/byvanie-stavebnictvo/;https://web.archive.org/web/20100125073457/http://www.press.sk:80/byvanie-stavebnictvo/;2,01E+13;skip;0;;;
http://www.press.sk:80/byvanie-stavebnictvo;https://web.archive.org/web/20101012142517/http://www.press.sk:80/byvanie-stavebnictvo;2,01E+13;skip;0;;;
http://www.press.sk:80/byvanie-stavebnictvo;https://web.archive.org/web/20101112105503/http://www.press.sk:80/byvanie-stavebnictvo;2,01E+13;skip;0;;;
http://www.press.sk:80/byvanie-stavebnictvo;https://web.archive.org/web/20101216071618/http://www.press.sk:80/byvanie-stavebnictvo;2,01E+13;skip;0;;;
http://www.press.sk:80/byvanie-stavebnictvo/;https://web.archive.org/web/20101218003332/http://www.press.sk:80/byvanie-stavebnictvo/;2,01E+13;skip;0;;;
http://www.press.sk:80/byvanie-stavebnictvo/;https://web.archive.org/web/20110217043247/http://www.press.sk:80/byvanie-stavebnictvo/;2,01E+13;skip;0;;;
http://www.press.sk:80/byvanie-stavebnictvo;https://web.archive.org/web/20110418115503/http://www.press.sk:80/byvanie-stavebnictvo;2,01E+13;skip;0;;;
http://www.press.sk:80/byvanie-stavebnictvo/;https://web.archive.org/web/20110419093945/http://www.press.sk:80/byvanie-stavebnictvo/;2,01E+13;skip;0;;;
http://www.press.sk:80/byvanie-stavebnictvo;https://web.archive.org/web/20110520151909/http://www.press.sk:80/byvanie-stavebnictvo;2,01E+13;skip;0;;;
http://www.press.sk:80/byvanie-stavebnictvo/;https://web.archive.org/web/20110619031545/http://www.press.sk:80/byvanie-stavebnictvo/;2,01E+13;skip;0;;;
http://www.press.sk:80/byvanie-stavebnictvo;https://web.archive.org/web/20110622180941/http://www.press.sk:80/byvanie-stavebnictvo;2,01E+13;skip;0;;;
http://www.press.sk:80/byvanie-stavebnictvo/;https://web.archive.org/web/20110819021954/http://www.press.sk:80/byvanie-stavebnictvo/;2,01E+13;skip;0;;;
http://www.press.sk:80/byvanie-stavebnictvo;https://web.archive.org/web/20110831011307/http://www.press.sk:80/byvanie-stavebnictvo;2,01E+13;skip;0;;;
http://www.press.sk:80/byvanie-stavebnictvo;https://web.archive.org/web/20110913063505/http://www.press.sk:80/byvanie-stavebnictvo;2,01E+13;skip;0;;;
http://www.press.sk:80/byvanie-stavebnictvo/;https://web.archive.org/web/20111019173346/http://www.press.sk:80/byvanie-stavebnictvo/;2,01E+13;skip;0;;;
http://www.press.sk:80/byvanie-stavebnictvo/;https://web.archive.org/web/20111219110935/http://www.press.sk:80/byvanie-stavebnictvo/;2,01E+13;skip;0;;;
http://www.press.sk:80/byvanie-stavebnictvo/;https://web.archive.org/web/20120218044438/http://www.press.sk:80/byvanie-stavebnictvo/;2,01E+13;skip;0;;;
http://www.press.sk:80/byvanie-stavebnictvo/;https://web.archive.org/web/20120419091507/http://www.press.sk:80/byvanie-stavebnictvo/;2,01E+13;skip;0;;;
http://www.press.sk:80/byvanie-stavebnictvo/;https://web.archive.org/web/20120626060927/http://www.press.sk:80/byvanie-stavebnictvo/;2,01E+13;skip;0;;;
http://www.press.sk:80/byvanie-stavebnictvo/;https://web.archive.org/web/20120826183435/http://www.press.sk:80/byvanie-stavebnictvo/;2,01E+13;skip;0;;;
http://www.press.sk:80/byvanie-stavebnictvo/;https://web.archive.org/web/20121026214544/http://www.press.sk:80/byvanie-stavebnictvo/;2,01E+13;skip;0;;;
http://www.press.sk/byvanie-stavebnictvo/;https://web.archive.org/web/20130425085010/http://www.press.sk/byvanie-stavebnictvo/;2,01E+13;skip;0;;;
http://www.press.sk:80/byvanie-stavebnictvo/;https://web.archive.org/web/20130711075445/http://www.press.sk:80/byvanie-stavebnictvo/;2,01E+13;skip;0;;;
http://www.press.sk:80/byvanie-stavebnictvo/;https://web.archive.org/web/20130910093314/http://www.press.sk:80/byvanie-stavebnictvo/;2,01E+13;skip;0;;;
http://www.press.sk:80/byvanie-stavebnictvo/;https://web.archive.org/web/20140103024943/http://www.press.sk:80/byvanie-stavebnictvo/;2,01E+13;skip;0;;;
http://www.press.sk:80/byvanie-stavebnictvo/;https://web.archive.org/web/20140506005931/http://www.press.sk:80/byvanie-stavebnictvo/;2,01E+13;skip;0;;;
http://www.press.sk:80/byvanie-stavebnictvo/;https://web.archive.org/web/20140705230210/http://www.press.sk:80/byvanie-stavebnictvo/;2,01E+13;skip;0;;;
http://www.press.sk:80/byvanie-stavebnictvo/;https://web.archive.org/web/20140905052519/http://www.press.sk:80/byvanie-stavebnictvo/;2,01E+13;skip;0;;;
http://www.press.sk:80/byvanie-stavebnictvo/;https://web.archive.org/web/20141014090805/http://www.press.sk:80/byvanie-stavebnictvo/;2,01E+13;skip;0;;;
http://www.press.sk:80/byvanie-stavebnictvo/;https://web.archive.org/web/20141214113224/http://www.press.sk:80/byvanie-stavebnictvo/;2,01E+13;skip;0;;;
http://www.press.sk:80/byvanie-stavebnictvo/;https://web.archive.org/web/20150313155548/http://www.press.sk:80/byvanie-stavebnictvo/;2,02E+13;skip;0;;;
http://www.press.sk:80/byvanie-stavebnictvo/;https://web.archive.org/web/20150626222806/http://www.press.sk:80/byvanie-stavebnictvo/;2,02E+13;skip;0;;;
http://www.press.sk:80/byvanie-stavebnictvo/;https://web.archive.org/web/20150826042408/http://www.press.sk:80/byvanie-stavebnictvo/;2,02E+13;skip;0;;;
http://www.press.sk:80/byvanie-stavebnictvo/;https://web.archive.org/web/20151113000433/http://www.press.sk:80/byvanie-stavebnictvo/;2,02E+13;skip;0;;;
http://www.press.sk:80/byvanie-stavebnictvo/;https://web.archive.org/web/20160112120451/http://www.press.sk:80/byvanie-stavebnictvo/;2,02E+13;skip;0;;;
http://www.press.sk:80/byvanie-stavebnictvo;https://web.archive.org/web/20160125061323/http://www.press.sk:80/byvanie-stavebnictvo;2,02E+13;skip;0;;;
http://www.press.sk:80/byvanie-stavebnictvo;https://web.archive.org/web/20160226055412/http://www.press.sk:80/byvanie-stavebnictvo;2,02E+13;skip;0;;;
http://www.press.sk:80/byvanie-stavebnictvo/;https://web.archive.org/web/20160313065814/http://www.press.sk:80/byvanie-stavebnictvo/;2,02E+13;skip;0;;;
http://www.press.sk:80/byvanie-stavebnictvo;https://web.archive.org/web/20160402225002/http://www.press.sk:80/byvanie-stavebnictvo;2,02E+13;skip;0;;;
http://www.press.sk:80/byvanie-stavebnictvo;https://web.archive.org/web/20160404001152/http://www.press.sk:80/byvanie-stavebnictvo;2,02E+13;skip;0;;;
http://www.press.sk/byvanie-stavebnictvo/;https://web.archive.org/web/20160407004414/http://www.press.sk/byvanie-stavebnictvo/;2,02E+13;skip;0;;;
http://www.press.sk:80/byvanie-stavebnictvo;https://web.archive.org/web/20160513161816/http://www.press.sk:80/byvanie-stavebnictvo;2,02E+13;skip;0;;;
http://www.press.sk:80/byvanie-stavebnictvo/;https://web.archive.org/web/20160524164806/http://www.press.sk:80/byvanie-stavebnictvo/;2,02E+13;skip;0;;;
http://www.press.sk:80/byvanie-stavebnictvo/;https://web.archive.org/web/20160724164152/http://www.press.sk:80/byvanie-stavebnictvo/;2,02E+13;skip;0;;;
http://www.press.sk:80/byvanie-stavebnictvo;https://web.archive.org/web/20160906205135/http://www.press.sk:80/byvanie-stavebnictvo;2,02E+13;skip;0;;;
http://www.press.sk:80/byvanie-stavebnictvo/;https://web.archive.org/web/20160924074230/http://www.press.sk:80/byvanie-stavebnictvo/;2,02E+13;skip;0;;;
http://www.press.sk:80/byvanie-stavebnictvo;https://web.archive.org/web/20161008002240/http://www.press.sk:80/byvanie-stavebnictvo;2,02E+13;skip;0;;;
http://www.press.sk:80/byvanie-stavebnictvo;https://web.archive.org/web/20161109152333/http://www.press.sk:80/byvanie-stavebnictvo;2,02E+13;skip;0;;;
http://www.press.sk:80/byvanie-stavebnictvo/;https://web.archive.org/web/20161226003947/http://www.press.sk:80/byvanie-stavebnictvo/;2,02E+13;skip;0;;;
http://www.press.sk:80/byvanie-stavebnictvo/;https://web.archive.org/web/20170331180020/http://www.press.sk:80/byvanie-stavebnictvo/;2,02E+13;skip;0;;;
http://www.press.sk/byvanie-stavebnictvo/;https://web.archive.org/web/20170405214320/http://www.press.sk/byvanie-stavebnictvo/;2,02E+13;skip;0;;;
http://www.press.sk:80/byvanie-stavebnictvo/;https://web.archive.org/web/20170531093031/http://www.press.sk:80/byvanie-stavebnictvo/;2,02E+13;skip;0;;;
http://www.press.sk/byvanie-stavebnictvo/;https://web.archive.org/web/20170608082826/http://www.press.sk/byvanie-stavebnictvo/;2,02E+13;skip;0;;;
http://www.press.sk:80/canfora-publishing;https://web.archive.org/web/20160516133156/http://www.press.sk:80/canfora-publishing;2,02E+13;skip;0;;;
http://www.press.sk:80/canfora-publishing/;https://web.archive.org/web/20160519000431/http://www.press.sk:80/canfora-publishing/;2,02E+13;skip;0;;;
http://www.press.sk:80/canfora-publishing;https://web.archive.org/web/20160616080413/http://www.press.sk:80/canfora-publishing;2,02E+13;skip;0;;;
http://www.press.sk:80/canfora-publishing;https://web.archive.org/web/20160717024220/http://www.press.sk:80/canfora-publishing;2,02E+13;skip;0;;;
http://www.press.sk/canfora-publishing/;https://web.archive.org/web/20170405170806/http://www.press.sk/canfora-publishing/;2,02E+13;skip;0;;;
http://www.press.sk:80/cd/;https://web.archive.org/web/20090226193714/http://www.press.sk:80/cd/;2,01E+13;skip;0;;;
http://www.press.sk:80/cd/;https://web.archive.org/web/20090428135055/http://www.press.sk:80/cd/;2,01E+13;skip;0;;;
http://www.press.sk:80/cd;https://web.archive.org/web/20090515104032/http://www.press.sk:80/cd;2,01E+13;skip;0;;;
http://www.press.sk:80/cd/;https://web.archive.org/web/20091028200344/http://www.press.sk:80/cd/;2,01E+13;skip;0;;;
http://www.press.sk:80/cd/;https://web.archive.org/web/20091228103836/http://www.press.sk:80/cd/;2,01E+13;skip;0;;;
http://www.press.sk:80/cd;https://web.archive.org/web/20100111031957/http://www.press.sk:80/cd;2,01E+13;skip;0;;;
http://www.press.sk:80/cd/;https://web.archive.org/web/20100227175121/http://www.press.sk:80/cd/;2,01E+13;skip;0;;;
http://www.press.sk:80/cd/;https://web.archive.org/web/20100429195413/http://www.press.sk:80/cd/;2,01E+13;skip;0;;;
http://www.press.sk:80/cd/;https://web.archive.org/web/20100630175356/http://www.press.sk:80/cd/;2,01E+13;skip;0;;;
http://www.press.sk:80/cd/;https://web.archive.org/web/20100830224009/http://www.press.sk:80/cd/;2,01E+13;skip;0;;;
http://www.press.sk:80/cd/;https://web.archive.org/web/20101031071533/http://www.press.sk:80/cd/;2,01E+13;skip;0;;;
http://www.press.sk:80/cd;https://web.archive.org/web/20101218140414/http://www.press.sk:80/cd;2,01E+13;skip;0;;;
http://www.press.sk:80/cd/;https://web.archive.org/web/20101231083141/http://www.press.sk:80/cd/;2,01E+13;skip;0;;;
http://www.press.sk:80/cd;https://web.archive.org/web/20110118092447/http://www.press.sk:80/cd;2,01E+13;skip;0;;;
http://www.press.sk:80/cd;https://web.archive.org/web/20110119125536/http://www.press.sk:80/cd;2,01E+13;skip;0;;;
http://www.press.sk:80/cd/;https://web.archive.org/web/20110302205837/http://www.press.sk:80/cd/;2,01E+13;skip;0;;;
http://www.press.sk:80/cd/;https://web.archive.org/web/20110803173013/http://www.press.sk:80/cd/;2,01E+13;skip;0;;;
http://www.press.sk/cd/;https://web.archive.org/web/20110817115917/http://www.press.sk/cd/;2,01E+13;skip;0;;;
http://www.press.sk:80/cd/;https://web.archive.org/web/20111003021638/http://www.press.sk:80/cd/;2,01E+13;skip;0;;;
http://www.press.sk:80/cd/;https://web.archive.org/web/20120323140231/http://www.press.sk:80/cd/;2,01E+13;skip;0;;;
http://www.press.sk/cd/;https://web.archive.org/web/20130510224230/http://www.press.sk/cd/;2,01E+13;skip;0;;;
http://www.press.sk/cd/;https://web.archive.org/web/20140117023958/http://www.press.sk/cd/;2,01E+13;skip;0;;;
http://www.press.sk:80/cd/;https://web.archive.org/web/20140423083517/http://www.press.sk:80/cd/;2,01E+13;skip;0;;;
http://www.press.sk:80/cd/;https://web.archive.org/web/20140810071803/http://www.press.sk:80/cd/;2,01E+13;skip;0;;;
http://www.press.sk:80/cd/;https://web.archive.org/web/20150512103637/http://www.press.sk:80/cd/;2,02E+13;skip;0;;;
http://www.press.sk:80/cd/;https://web.archive.org/web/20160203085212/http://www.press.sk:80/cd/;2,02E+13;skip;0;;;
http://www.press.sk:80/cd/;https://web.archive.org/web/20160204001110/http://www.press.sk:80/cd/;2,02E+13;skip;0;;;
http://www.press.sk/cd/;https://web.archive.org/web/20160409033255/http://www.press.sk/cd/;2,02E+13;skip;0;;;
http://www.press.sk:80/cd/;https://web.archive.org/web/20160416064346/http://www.press.sk:80/cd/;2,02E+13;skip;0;;;
http://www.press.sk:80/cd;https://web.archive.org/web/20160916125811/http://www.press.sk:80/cd;2,02E+13;skip;0;;;
http://www.press.sk:80/cd;https://web.archive.org/web/20161018015910/http://www.press.sk:80/cd;2,02E+13;skip;0;;;
http://www.press.sk:80/cd;https://web.archive.org/web/20161118005841/http://www.press.sk:80/cd;2,02E+13;skip;0;;;
http://www.press.sk:80/cd-a-dvd/;https://web.archive.org/web/20170331180025/http://www.press.sk:80/cd-a-dvd/;2,02E+13;skip;0;;;
http://www.press.sk:80/cd-a-dvd/;https://web.archive.org/web/20170531092811/http://www.press.sk:80/cd-a-dvd/;2,02E+13;skip;0;;;
http://www.press.sk/cd-a-dvd/;https://web.archive.org/web/20170608082849/http://www.press.sk/cd-a-dvd/;2,02E+13;skip;0;;;
http://www.press.sk:80/cd/n;https://web.archive.org/web/20090517033149/http://www.press.sk:80/cd/n,a,30,0/;2,01E+13;skip;0;;;
http://www.press.sk:80/cd/n;https://web.archive.org/web/20101219153742/http://www.press.sk:80/cd/n,a,30,0/;2,01E+13;skip;0;;;
http://www.press.sk:80/cd/n;https://web.archive.org/web/20110218230702/http://www.press.sk:80/cd/n,a,30,0/;2,01E+13;skip;0;;;
http://www.press.sk:80/cd/n;https://web.archive.org/web/20090515104042/http://www.press.sk:80/cd/n,a,30,30;2,01E+13;skip;0;;;
http://www.press.sk:80/cd/n;https://web.archive.org/web/20090517070555/http://www.press.sk:80/cd/n,a,30,30/;2,01E+13;skip;0;;;
http://www.press.sk:80/cd/n;https://web.archive.org/web/20100107161104/http://www.press.sk:80/cd/n,a,30,30;2,01E+13;skip;0;;;
http://www.press.sk:80/cd/n;https://web.archive.org/web/20101218140419/http://www.press.sk:80/cd/n,a,30,30;2,01E+13;skip;0;;;
http://www.press.sk:80/cd/n;https://web.archive.org/web/20101219181108/http://www.press.sk:80/cd/n,a,30,30/;2,01E+13;skip;0;;;
http://www.press.sk:80/cd/n;https://web.archive.org/web/20110118161935/http://www.press.sk:80/cd/n,a,30,30;2,01E+13;skip;0;;;
http://www.press.sk:80/cd/n;https://web.archive.org/web/20110219044023/http://www.press.sk:80/cd/n,a,30,30;2,01E+13;skip;0;;;
